Symbol_1,periodOfReport,employeeCount
ADSK,2024-01-31,14100
ADSK,2024-01-31,14100
ADSK,2024-01-31,14100
ADSK,2024-01-31,14100
ADSK,2024-01-31,14100
ADSK,2024-01-31,14100
ADP,2024-06-30,64000
ADP,2024-06-30,64000
3414924Q,,
AEG.JO,,
AVY,2023-12-30,35000
AV.L,,
AV.L,,
AV.L,,
AV.L,,
AV.L,,
AV.L,,
AV.L,,
AVP,,
CS.PA,,
CS.PA,,
SPR.DE,,
AXFO.ST,,
BBY.L,,
BBY.L,,
BBY.L,,
BA.L,,
BHGE,,
BES.LS,,
BES.LS,,
BES.LS,,
BES.LS,,
BES.LS,,
BMPS.MI,,
BMPS.MI,,
BMPS.MI,,
BMPS.MI,,
BBDC3.SA,,
BBDC3.SA,,
BBDC3.SA,,
BCP.LS,,
BCP.LS,,
BBAS3.SA,,
BBAS3.SA,,
BBAS3.SA,,
BBAS3.SA,,
GALI,,
GALI,,
BMO.TO,,
BMO.TO,,
BMO.TO,,
SAB.MC,,
BO.CO,,
BO.CO,,
BO.CO,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
POP.MC,,
SAN.MC,,
SAN.MC,,
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BAC,2023-12-31,213000
BCVN.SW,,
BCVN.SW,,
BCVN.SW,,
BCVN.SW,,
BCVN.SW,,
BCVN.SW,,
BK,2022-12-31,51700
BK,2022-12-31,51700
BK,2022-12-31,51700
BK,2022-12-31,51700
BK,2022-12-31,51700
BK,2022-12-31,51700
BK,2022-12-31,51700
BK,2022-12-31,51700
BNS.TO,,
BKT.MC,,
BKT.MC,,
BARC.L,,
BARC.L,,
BARC.L,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAS.DE,,
BAW.JO,,
BAW.JO,,
BLKB.SW,,
BLKB.SW,,
