Symbol_1,environmentalScore,socialScore,governanceScore,ESGScore
2301.TW,,,,
LREN3.SA,,,,
LMT,67.82,66.7,68.78,67.77
LSE.L,,,,
LMI.L,,,,
LOW,63.9,67.48,74.24,68.54
LSI,73.57,75.87,73.01,74.15
LUN.CO,,,,
LUPE.ST,,,,
MC.PA,,,,
MM.BO,,,,
MOL.BD,,,,
MAY.KL,,,,
MAN.DE,,,,
MKS.L,,,,
MAR,60.78,60.37,69.62,63.59
MFC.TO,,,,
MAP.MC,,,,
MRFG3.SA,,,,
MHG.OL,,,,
4614Z,,,,
MMC,56.58,56.79,62.07,58.48
MSLH.L,,,,
MRVL,66.1,63.67,59.23,63
MAS,60.01,55.76,64.64,60.14
MSM.JO,,,,
7261.T,,,,
MAT,67.44,71.76,65.67,68.29
MCB.L,,,,
SPGI,74.54,75.44,77.6,75.86
MWV,,,,
MEDAA.ST,,,,
MDC.JO,,,,
MB.MI,,,,
MDT,79.35,68.31,61.25,69.64
MRK.DE,,,,
MRK,75.78,72.32,72.93,73.67
CEC.DE,,,,
MTS.AX,,,,
MMI.JO,,,,
METSO.HE,,,,
MSFT,71.75,58.7,60.1,63.52
MLC.L,,,,
MIC.ST,,,,
037620.KS,,,,
MGR.AX,,,,
7011.T,,,,
MTO.L,,,,
5711.T,,,,
4188.T,,,,
6503.T,,,,
4183.T,,,,
8306.T,,,,
8411.T,,,,
9104.T,,,,
MON,59.03,76.43,70.19,68.55
MOL,,,,
TAP,65.34,70.47,75.7,70.5
MTGA.ST,,,,
MN.MI,,,,
0133220D,,,,
MND.AX,,,,
MNDI.L,,,,
MRW.L,,,,
MOS,63.5,69.91,82.72,72.04
MGAM.L,,,,
MGNS.L,,,,
MS,62.17,73.05,57.8,64.34
MTN.JO,,,,
0066.HK,,,,
MGPI,74.29,66.58,72.13,71
6981.T,,,,
MUV2.DE,,,,
MUR.JO,,,,
9044.T,,,,
NPK.JO,,,,
NDAQ,69.12,63.92,59.5,64.18
ETE.AT,,,,
8367.T,,,,
NAB.AX,,,,
NA.TO,,,,
NEX.L,,,,
NG.L,,,,
NCCA.ST,,,,
NATU3.SA,,,,
6701.T,,,,
NED.JO,,,,
NESTE.HE,,,,
NESN.SW,,,,
NTC.JO,,,,
NTAP,77.75,61.87,64.15,67.93
CLS.JO,,,,
NCM.AX,,,,
NEM,64.41,68.66,86,73.02
FOX,50,72.6,65.51,62.7
NHH.MC,,,,
NXI.PA,,,,
7731.T,,,,
9432.T,,,,
NI,59.62,68.74,80.24,69.53
4612.T,,,,
9101.T,,,,
7240.T,,,,
8604.T,,,,
NOKIA.HE,,,,
7201.T,,,,
6988.T,,,,
3105.T,,,,
NKT.CO,,,,
NOBI.ST,,,,
NDA.ST,,,,
NSC,60.3,64.55,69.4,64.75
NDX1.DE,,,,
NHM.JO,,,,
ES,63.71,74.82,73.4,70.64
NTRS,72.91,79.67,78.93,77.17
NOC,63.41,65.71,77.01,68.71
NPRO.OL,,,,
NOVOB.CO,,,,
NZYMB.CO,,,,
NOVN.SW,,,,
NVTK,,,,
NRG,56.76,72.89,75.16,68.27
6471.T,,,,
9613.T,,,,
9437.T,,,,
6472.T,,,,
8933.T,,,,
NVDA,68.9,66.51,69.95,68.46
1802.T,,,,
0686576D,,,,
OHL.MC,,,,
ODPV3.SA,,,,
ODF.OL,,,,
POST,99.76,67.25,75.92,80.98
OML.L,,,,
7733.T,,,,
OMV,,,,
ARI.AX,,,,
OMC,56.15,54,62.25,57.47
6645.T,,,,
ST,52.09,54.97,60.68,55.91
1272705D.TO,,,,
ORCL,71.7,69.16,63.7,68.19
9532.T,,,,
ORK.OL,,,,
ORA,72.44,64.79,60.14,65.79
ORI.ST,,,,
8591.T,,,,
OUT1V.HE,,,,
OTE1V.HE,,,,
2343.HK,,,,
OC,70.33,66.38,72.97,69.89
PNA.AX,,,,
6752.T,,,,
PWTN.SW,,,,
PGHN.SW,,,,
PH,75.94,70.03,74.56,73.51
1615842Z.L,,,,
IGTE,,,,
PEABB.ST,,,,
PSON.L,,,,
PGF.TO,,,,
PNN.L,,,,
OBE.TO,,,,
RI.PA,,,,
POM,,,,
PPT.AX,,,,
PKI,,,,
PEP,,,,
PSN.L,,,,
PGS.OL,,,,
PETR3.SA,,,,
PCG,,,,
PFE,,,,
PHIA.AS,,,,
PM,,,,
PIK.JO,,,,
6773.T,,,,
PC.MI,,,,
PBI,,,,
PNC,,,,
PCL,,,,
PSSA3.SA,,,,
005490.KS,,,,
KER.PA,,,,
PHR.LS,,,,
PX,,,,
PFL.L,,,,
PPC.JO,,,,
PMO.L,,,,
PFG,,,,
PLD,,,,
PFG.L,,,,
PSPN.SW,,,,
PTTEP.BK,,,,
PTT.BK,,,,
PRU,,,,
QQ.L,,,,
PUB.PA,,,,
QAN.AX,,,,
PUM.DE,,,,
QCE.DE,,,,
QBE.AX,,,,
2352.TW,,,,
DGX,,,,
REE,,,,
RAK.NZ,,,,
RBI,,,,
RRS.L,,,,
RAT.L,,,,
RTN,,,,
RDF.JO,,,,
RKT.L,,,,
REL.L,,,,
RNO.PA,,,,
REM.JO,,,,
RENE.LS,,,,
3941.T,,,,
RSW.L,,,,
REP.MC,,,,
BB.TO,,,,
RTO.L,,,,
RLO.JO,,,,
7752.T,,,,
0161814Z,,,,
RBA.TO,,,,
RIO.AX,,,,
5947.T,,,,
ROG.SW,,,,
COL,,,,
ROCKB.CO,,,,
ROK,60.1,68.16,70.85,66.37
RCI-B.TO,,,,
RR.L,,,,
RCL,58.84,65,70.1,64.65
RBS.L,,,,
RY.TO,,,,
RSA.L,,,,
KPN.AS,,,,
RDSA.L,,,,
RWE.DE,,,,
RUS.TO,,,,
SK.PA,,,,
R,58.54,69.03,66.34,64.64
SAABB.ST,,,,
SGO.PA,,,,
CRM,72.87,63.41,63.27,66.52
010140.KS,,,,
000830.KS,,,,
028050.KS,,,,
000810.KS,,,,
005930.KS,,,,
009150.KS,,,,
006400.KS,,,,
012450.KS,,,,
SNDK,47.03,58.48,66.18,57.23
SAP.JO,,,,
2501.T,,,,
SAN.PA,,,,
STO.AX,,,,
SNT.JO,,,,
SAP.DE,,,,
SCAB.ST,,,,
SAS.ST,,,,
SOL.JO,,,,
SCS.BO,,,,
SVS.L,,,,
SCVB.ST,,,,
SLB,68.07,59.87,59.95,62.63
SU.PA,,,,
SCHA.OL,,,,
SDR.L,,,,
SSE.L,,,,
SCC.TO,,,,
STX,75.47,74.51,66.1,72.03
SECUB.ST,,,,
SGRO.L,,,,
4204.T,,,,
1928.T,,,,
SRE,70.42,82.61,81.54,78.19
6724.T,,,,
SRP.L,,,,
SESG.PA,,,,
SVT.L,,,,
3382.T,,,,
VEDL.BO,,,,
8410.T,,,,
