Symbol_1,date,environmentalScore,socialScore,governanceScore,ESGScore
BLKB.SW,,,,,
BLKB.SW,,,,,
BLKB.SW,,,,,
BSKP.SW,,,,,
BSKP.SW,,,,,
BSKP.SW,,,,,
BSKP.SW,,,,,
BSKP.SW,,,,,
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAX,2024-09-30,79.3,65.19,75.75,73.41
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BAYN.DE,,,,,
BBVA.MC,,,,,
BCE.TO,,,,,
BEZ.L,,,,,
BEZ.L,,,,,
BDX,2024-12-31,74.37,61.41,62.08,65.95
BDX,2024-12-31,74.37,61.41,62.08,65.95
BDX,2024-12-31,74.37,61.41,62.08,65.95
BEKN.SW,,,,,
BEKN.SW,,,,,
BEKN.SW,,,,,
BEKN.SW,,,,,
unknown,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
PROX.BR,,,,,
BEN.AX,,,,,
BEN.AX,,,,,
BEN.AX,,,,,
BEN.AX,,,,,
BBY,2024-11-02,84.43,75.9,71.71,77.35
BBY,2024-11-02,84.43,75.9,71.71,77.35
BBY,2024-11-02,84.43,75.9,71.71,77.35
unknown,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BG/.L,,,,,
BHP.AX,,,,,
BHP.AX,,,,,
BB.PA,,,,,
BB.PA,,,,,
BB.PA,,,,,
BB.PA,,,,,
BB.PA,,,,,
unknown,,,,,
BIIB,2024-09-30,69.32,63.84,74.51,69.22
BIIB,2024-09-30,69.32,63.84,74.51,69.22
BIIB,2024-09-30,69.32,63.84,74.51,69.22
BIIB,2024-09-30,69.32,63.84,74.51,69.22
BIIB,2024-09-30,69.32,63.84,74.51,69.22
BIIB,2024-09-30,69.32,63.84,74.51,69.22
BIIB,2024-09-30,69.32,63.84,74.51,69.22
unknown,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
BNP.PA,,,,,
BMW.DE,,,,,
BMW.DE,,,,,
BMW.DE,,,,,
BMW.DE,,,,,
BMW.DE,,,,,
BMW.DE,,,,,
BMW.DE,,,,,
BON.PA,,,,,
BON.PA,,,,,
BON.PA,,,,,
BON.PA,,,,,
BON.PA,,,,,
BON.PA,,,,,
BON.PA,,,,,
BA,2024-12-31,61.16,53.86,62.97,59.33
BOL.ST,,,,,
BOL.ST,,,,,
BOL.ST,,,,,
1015Z.L,,,,,
1015Z.L,,,,,
1015Z.L,,,,,
BP.L,,,,,
EN.PA,,,,,
EN.PA,,,,,
EN.PA,,,,,
EN.PA,,,,,
EN.PA,,,,,
EN.PA,,,,,
EN.PA,,,,,
BVS.L,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BRKM3.SA,,,,,
BMY,2024-09-30,73.38,63.99,68.52,68.63
BMY,2024-09-30,73.38,63.99,68.52,68.63
8179618Q.L,,,,,
8179618Q.L,,,,,
8179618Q.L,,,,,
8179618Q.L,,,,,
8179618Q.L,,,,,
8179618Q.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BATS.L,,,,,
BLND.L,,,,,
BLND.L,,,,,
BLND.L,,,,,
BLND.L,,,,,
BLND.L,,,,,
BLND.L,,,,,
BLND.L,,,,,
BLND.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
SKY.L,,,,,
BRCM,2015-09-30,58.94,59.88,67.51,62.11
BRCM,2015-09-30,58.94,59.88,67.51,62.11
BR,2024-12-31,62.08,57.98,76.46,65.5
BR,2024-12-31,62.08,57.98,76.46,65.5
BR,2024-12-31,62.08,57.98,76.46,65.5
BAM-A.TO,,,,,
BF-A,2024-10-31,60.13,42.21,51.72,51.35
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BT-A.L,,,,,
BNZL.L,,,,,
BNZL.L,,,,,
BNZL.L,,,,,
unknown,,,,,
BRBY.L,,,,,
BRBY.L,,,,,
BRBY.L,,,,,
BRBY.L,,,,,
BRBY.L,,,,,
BWP.AX,,,,,
BWP.AX,,,,,
BVI.PA,,,,,
BVI.PA,,,,,
BVI.PA,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
BZU.MI,,,,,
BZU.MI,,,,,
BZU.MI,,,,,
BZU.MI,,,,,
BZU.MI,,,,,
CA,,,,,
CA,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
GCC.L,,,,,
CNE.L,,,,,
CXGD.LS,,,,,
CXGD.LS,,,,,
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CPB,2024-10-27,78.49,78.52,82.85,79.95
CNR.TO,,,,,
CP.TO,,,,,
CTC.TO,,,,,
CTC.TO,,,,,
CTC.TO,,,,,
CTC.TO,,,,,
CTC.TO,,,,,
CTC.TO,,,,,
CM.TO,,,,,
CM.TO,,,,,
7751.T,,,,,
7751.T,,,,,
7751.T,,,,,
7751.T,,,,,
7751.T,,,,,
7751.T,,,,,
7751.T,,,,,
7751.T,,,,,
7751.T,,,,,
COF,2024-09-30,54.09,63.71,54.74,57.51
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
CAP.PA,,,,,
3091Z,,,,,
CAH,2024-12-31,63.29,51.82,63.34,59.48
CLLN.L,,,,,
CLLN.L,,,,,
CLLN.L,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
unknown,,,,,
CCL,2024-11-30,53.24,50.41,67.03,56.89
CCL,2024-11-30,53.24,50.41,67.03,56.89
CCL,2024-11-30,53.24,50.41,67.03,56.89
CCL,2024-11-30,53.24,50.41,67.03,56.89
CCL,2024-11-30,53.24,50.41,67.03,56.89
CA.PA,,,,,
CBG,,,,,
CBG,,,,,
CBG,,,,,
CBG,,,,,
CBG,,,,,
CBG,,,,,
CBG,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
CO.PA,,,,,
6952.T,,,,,
6952.T,,,,,
CYT.TO,,,,,
CYT.TO,,,,,
CYT.TO,,,,,
0293.HK,,,,,
CGL.L,,,,,
CGL.L,,,,,
CGL.L,,,,,
CCL-A.TO,,,,,
CCL-A.TO,,,,,
CCL-A.TO,,,,,
CCL-A.TO,,,,,
CELG,2019-09-30,57.91,66.23,65.54,63.23
CELG,2019-09-30,57.91,66.23,65.54,63.23
CEMEXCPO.MX,,,,,
CEMEXCPO.MX,,,,,
CEMEXCPO.MX,,,,,
CNP,2024-09-30,59.01,64.01,72.66,65.23
ELET6.SA,,,,,
ELET6.SA,,,,,
ELET6.SA,,,,,
